"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "YAML", "TypeScript JSX", "CSS", "Docker", "HTML", "comment", "blank", "total"
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/NavbarDash.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 8, 2, 177
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/Project.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 15, 7, 230
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/ProjectContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 24, 12, 191
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/gqlStrings.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 59
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 17, 93
"/Users/rose/Desktop/immersive/ReacType/app/src/components/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 67, 14, 114
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/AssignContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 5, 9, 128
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ComponentDropDrown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 5, 10, 105
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ComponentTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 3, 52
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ContextDropDown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 5, 11, 103
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ContextTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 1, 6, 73
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/ContextManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 8, 68
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/CreateContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 4, 11, 141
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/components/AddContextForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 7, 11, 156
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/components/AddDataForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 3, 6, 68
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/components/DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 4, 69
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/DisplayTab/DisplayContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 2, 6, 53
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/CreateContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/components/StatePropsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 582, 0, 0, 0, 12, 21, 615
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/components/TableParentProps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 5, 13, 154
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/components/TablePassedInProps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 7, 9, 143
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/components/TableStateProps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 4, 10, 154
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/DisplayTab/DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 4, 8, 111
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/DisplayTab/DisplayContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 6, 6, 75
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/DisplayTab/Tree.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 31, 22, 205
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/DisplayTab/useResizeObserver.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"/Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/StateManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 2, 9, 70
"/Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/BottomPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 5, 14, 67
"/Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/BottomTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 5, 8, 220
"/Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/CodePreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 7, 14, 120
"/Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/CreationPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 3, 20
"/Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/StylesEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 3, 9, 79
"/Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/UseStateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 4, 64
"/Users/rose/Desktop/immersive/ReacType/app/src/components/form/Selector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 4, 57
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/ComponentDrag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 4, 5, 73
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/ComponentsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 5, 62
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/ContentArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 5, 45
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/DragDropPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 14, 5, 121
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/ElementsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 8, 60
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/HTMLItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 8, 8, 158
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/HTMLPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 17, 27, 372
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/RoomsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 27, 19, 302
"/Users/rose/Desktop/immersive/ReacType/app/src/components/left/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 8, 89
"/Users/rose/Desktop/immersive/ReacType/app/src/components/login/FBPassWord.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 2, 14, 206
"/Users/rose/Desktop/immersive/ReacType/app/src/components/login/SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 326, 0, 0, 0, 36, 21, 383
"/Users/rose/Desktop/immersive/ReacType/app/src/components/login/SignUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 316, 0, 0, 0, 2, 16, 334
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/AddLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 1, 6, 105
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/AddRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/Arrow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 6, 88
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/Canvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 22, 12, 156
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/CanvasContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 8, 56
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/DeleteButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/DemoRender.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 14, 21, 236
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/DirectChildComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 8, 8, 82
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/DirectChildHTML.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 12, 87
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/DirectChildHTMLNestable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 18, 17, 205
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/IndirectChild.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 4, 52
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/RouteLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 7, 5, 77
"/Users/rose/Desktop/immersive/ReacType/app/src/components/main/SeparatorChild.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 13, 13, 144
"/Users/rose/Desktop/immersive/ReacType/app/src/components/marketplace/MarketplaceCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 4, 14, 227
"/Users/rose/Desktop/immersive/ReacType/app/src/components/marketplace/MarketplaceCardContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"/Users/rose/Desktop/immersive/ReacType/app/src/components/marketplace/Searchbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 14, 16, 71
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/ComponentPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 322, 0, 0, 0, 19, 17, 358
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/ComponentPanelItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 12, 2, 90
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/ComponentPanelRoutingItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 27, 10, 135
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/DeleteProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 5, 11, 186
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/ExportButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 109, 21, 213
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/LoginButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 3, 12, 102
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/OpenProjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 5, 5, 165
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/ProjectManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 21, 18, 176
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/SaveProjectButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 5, 7, 109
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/SimpleModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 5, 107
"/Users/rose/Desktop/immersive/ReacType/app/src/components/right/createModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 4, 39
"/Users/rose/Desktop/immersive/ReacType/app/src/components/top/NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 15, 273
"/Users/rose/Desktop/immersive/ReacType/app/src/components/top/NavBarButtons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 14, 20, 284
"/Users/rose/Desktop/immersive/ReacType/app/src/components/top/NewExportButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 11, 90
"/Users/rose/Desktop/immersive/ReacType/app/src/components/top/PublishModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 3, 55
"/Users/rose/Desktop/immersive/ReacType/app/src/constants/ErrorMessages.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/rose/Desktop/immersive/ReacType/app/src/constants/ItemTypes.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/rose/Desktop/immersive/ReacType/app/src/constants/Styling.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/rose/Desktop/immersive/ReacType/app/src/containers/AppContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 3, 8, 60
"/Users/rose/Desktop/immersive/ReacType/app/src/containers/CustomizationPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1016, 0, 0, 0, 29, 25, 1070
"/Users/rose/Desktop/immersive/ReacType/app/src/containers/LeftContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"/Users/rose/Desktop/immersive/ReacType/app/src/containers/MainContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 6, 14, 129
"/Users/rose/Desktop/immersive/ReacType/app/src/containers/MarketplaceContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 14, 90
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/auth.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 77
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/changePositionValidation.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 47
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/cloneDeep.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 30
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/combineStyles.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 16
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/componentNestValidation.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 16
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/cssRefresh.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/generateCode.ts", "TypeScript", 526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 23, 584
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/manageSeparators.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 98
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/projectGetSaveDel.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 141
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/randomPassword.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/renderChildren.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 13, 3, 131
"/Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/zipFiles.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 34
"/Users/rose/Desktop/immersive/ReacType/app/src/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 5, 13, 100
"/Users/rose/Desktop/immersive/ReacType/app/src/interfaces/Interfaces.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 182
"/Users/rose/Desktop/immersive/ReacType/app/src/interfaces/declarations.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/rose/Desktop/immersive/ReacType/app/src/interfaces/global.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/rose/Desktop/immersive/ReacType/app/src/plugins/fetch-plugin.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 63
"/Users/rose/Desktop/immersive/ReacType/app/src/plugins/unpkg-path-plugin.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 27
"/Users/rose/Desktop/immersive/ReacType/app/src/public/index-prod.ejs", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"/Users/rose/Desktop/immersive/ReacType/app/src/public/index.ejs", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"/Users/rose/Desktop/immersive/ReacType/app/src/public/styles/globalDefaultStyles.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/rose/Desktop/immersive/ReacType/app/src/public/styles/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 665, 0, 0, 59, 142, 866
"/Users/rose/Desktop/immersive/ReacType/app/src/public/styles/theme.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 63
"/Users/rose/Desktop/immersive/ReacType/app/src/redux/HTMLTypes.ts", "TypeScript", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 250
"/Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/rootReducer.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 20
"/Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/slice/appStateSlice.ts", "TypeScript", 1132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 63, 1341
"/Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/slice/codePreviewSlice.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
"/Users/rose/Desktop/immersive/ReacType/app/src/redux/reducers/slice/contextReducer.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 106
