"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/rose/Desktop/immersive/ReacType/app/.electron/main.js", "JavaScript", 136, 0, 0, 0, 0, 356, 22, 514
"/Users/rose/Desktop/immersive/ReacType/app/.electron/menu.js", "JavaScript", 230, 0, 0, 0, 0, 29, 8, 267
"/Users/rose/Desktop/immersive/ReacType/app/.electron/preload.js", "JavaScript", 30, 0, 0, 0, 0, 22, 3, 55
"/Users/rose/Desktop/immersive/ReacType/app/.electron/preloadFunctions/chooseAppDir.js", "JavaScript", 17, 0, 0, 0, 0, 4, 5, 26
"/Users/rose/Desktop/immersive/ReacType/app/.electron/preloadFunctions/cookies.js", "JavaScript", 19, 0, 0, 0, 0, 0, 7, 26
"/Users/rose/Desktop/immersive/ReacType/app/.electron/preloadFunctions/format.js", "JavaScript", 11, 0, 0, 0, 0, 3, 3, 17
"/Users/rose/Desktop/immersive/ReacType/app/.electron/protocol.js", "JavaScript", 50, 0, 0, 0, 0, 17, 9, 76
"/Users/rose/Desktop/immersive/ReacType/app/.electron/render.js", "JavaScript", 8, 0, 0, 0, 0, 1, 1, 10
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/NavbarDash.tsx", "TypeScript JSX", 0, 167, 0, 0, 0, 8, 2, 177
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/Project.tsx", "TypeScript JSX", 0, 208, 0, 0, 0, 15, 7, 230
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/ProjectContainer.tsx", "TypeScript JSX", 0, 155, 0, 0, 0, 24, 12, 191
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/gqlStrings.ts", "TypeScript", 0, 0, 51, 0, 0, 2, 6, 59
"/Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/styles.css", "CSS", 0, 0, 0, 0, 76, 0, 17, 93
"/Users/rose/Desktop/immersive/ReacType/app/src/components/App.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 67, 14, 114
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/AssignContainer.tsx", "TypeScript JSX", 0, 114, 0, 0, 0, 5, 9, 128
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ComponentDropDrown.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 5, 10, 105
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ComponentTable.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 1, 3, 52
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ContextDropDown.tsx", "TypeScript JSX", 0, 87, 0, 0, 0, 5, 11, 103
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ContextTable.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 1, 6, 73
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/ContextManager.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 8, 68
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/CreateContainer.tsx", "TypeScript JSX", 0, 126, 0, 0, 0, 4, 11, 141
"/Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/components/AddContextForm.tsx", "TypeScript JSX", 0, 138, 0, 0, 0, 7, 11, 156
